id,race,risk_score_quantile,num_chronic_conds_mean,ci,orient
0,Black,10,0.2966507177033493,0.041739457576005855,left
1,White,10,0.1471251409244645,0.00989779246033562,left
2,Black,20,0.5348017621145374,0.051622657820975006,left
3,White,20,0.2660706201901313,0.01325492652732645,bottom
4,Black,30,0.7206132879045997,0.06729397276633323,left
5,White,30,0.3986811221638538,0.016871011802033202,bottom
6,Black,40,0.9009812667261374,0.0677276989802641,left
7,White,40,0.5756225725382682,0.01971855266334041,bottom
8,Black,50,1.328609388839681,0.08329641876672714,left
9,White,50,0.7821222862206468,0.023091980999131307,bottom
10,Black,60,1.6155890168290523,0.09792148730386557,left
11,White,60,1.0299311926605506,0.027016393746704247,bottom
12,Black,70,1.8906394810009268,0.10410161059320308,left
13,White,70,1.3284066733848394,0.0317111989597303,bottom
14,Black,80,2.492132867132867,0.12359166417613016,left
15,White,80,1.7396854342375199,0.037612271944343044,bottom
16,Black,90,3.2210970464135023,0.14413306572132206,left
17,White,90,2.2768009075439593,0.045978355620458274,left
18,Black,100,4.974667511082964,0.20788517889535718,left
19,White,100,3.5967876264128495,0.07496496880105981,left
